,release_year,listed_in
0,1925,TV Shows
1,1942,Documentaries
2,1943,Documentaries
3,1944,Documentaries
4,1945,Documentaries
5,1946,Documentaries
6,1947,Documentaries
7,1954,Children & Family Movies
8,1955,Comedies
9,1956,Action & Adventure
10,1958,Dramas
11,1959,Dramas
12,1960,Dramas
13,1961,Action & Adventure
14,1962,Dramas
15,1963,Action & Adventure
16,1964,Dramas
17,1965,Dramas
18,1966,Dramas
19,1967,Dramas
20,1968,Action & Adventure
21,1969,Dramas
22,1970,Comedies
23,1971,Dramas
24,1972,Dramas
25,1973,Action & Adventure
26,1974,Comedies
27,1975,Action & Adventure
28,1976,Action & Adventure
29,1977,Action & Adventure
30,1978,Action & Adventure
31,1979,Action & Adventure
32,1980,Action & Adventure
33,1981,Comedies
34,1982,Dramas
35,1983,Dramas
36,1984,Action & Adventure
37,1985,Comedies
38,1986,Action & Adventure
39,1987,Dramas
40,1988,Dramas
41,1989,Dramas
42,1990,Dramas
43,1991,Dramas
44,1992,Action & Adventure
45,1993,Dramas
46,1994,Dramas
47,1995,Dramas
48,1996,Comedies
49,1997,Comedies
50,1998,Comedies
51,1999,Comedies
52,2000,Comedies
53,2001,Comedies
54,2002,Dramas
55,2003,Comedies
56,2004,Comedies
57,2005,Dramas
58,2006,Dramas
59,2007,Dramas
60,2008,Dramas
61,2009,Comedies
62,2010,Dramas
63,2011,Dramas
64,2012,Dramas
65,2013,Dramas
66,2014,Dramas
67,2015,Dramas
68,2016,Dramas
69,2017,Dramas
70,2018,Dramas
71,2019,Dramas
72,2020,Dramas
73,2021,Dramas
